left_inside_boundary|right_inside_boundary|left_road_boundary|right_road_boundary|left_lane_marking|right_lane_marking
46.4021207549,11.3002154611|46.4021040841,11.3002047512|46.4021777133,11.3002522765|46.4020466626,11.3001679359|46.4021462241,11.3002321954|46.4020753734,11.3001860088
46.4020107151,11.3001504612|46.4019986751,11.3001390818|46.4020727675,11.3001852684|46.4019407904,11.3001036053|46.4020412782,11.3001658567|46.4019699643,11.3001216782
46.4019192923,11.3000824611|46.4019026215,11.3000710818|46.4019762509,11.3001192765|46.4018451998,11.3000342665|46.4019447616,11.3000991954|46.4018739106,11.3000530088
46.4018178295,11.3000147917|46.4018011586,11.3000040818|46.4018747882,11.3000516072|46.4017441999,11.2999672665|46.4018432988,11.300031526|46.4017724477,11.2999860088
46.4017163666,11.2999471224|46.4017024742,11.2999344043|46.4017756409,11.2999839378|46.4016459785,11.2998962502|46.4017446145,11.2999631872|46.4016742263,11.2999149926
46.4016107361,11.2998824611|46.4016019375,11.2998684043|46.4016751043,11.2999186072|46.4015454416,11.2998302502|46.4016440779,11.2998971872|46.4015736896,11.2998496619
46.4015118101,11.2998167918|46.40149977,11.2998054124|46.4015734,11.2998529378|46.401442811,11.2997685971|46.4015423735,11.2998328566|46.4014710589,11.2997866701
46.4014124412,11.2997471224|46.4013957702,11.2997364124|46.4014694004,11.2997839378|46.4013388111,11.2996995971|46.4014383738,11.2997638566|46.4013670591,11.2997176701
46.4013105153,11.299680453|46.4012938443,11.2996697431|46.4013679376,11.2997172684|46.401236885,11.2996329278|46.401336448,11.2996971873|46.4012655962,11.2996510007
46.4012085894,11.2996137836|46.4011923814,11.2996030737|46.4012660118,11.2996512684|46.401134959,11.2995662584|46.4012345221,11.2996305179|46.4011636702,11.2995850007
46.4011085896,11.2995477836|46.4010919185,11.2995370737|46.4011655491,11.299584599|46.401034496,11.2995002584|46.4011340593,11.2995645179|46.4010632073,11.2995183313
46.4010095898,11.2994827836|46.4009929187,11.2994720737|46.4010665494,11.299519599|46.4009354961,11.2994352584|46.4010350596,11.2994995179|46.4009642074,11.2994533313
46.4008987176,11.2994174612|46.4008820465,11.2994074206|46.4009570666,11.2994515991|46.4008241607,11.2993739522|46.4009251136,11.2994328567|46.400852872,11.2993906864
46.4008056642,11.2993491142|46.4007926977,11.2993363962|46.4008658656,11.2993859297|46.4007357379,11.2992982421|46.4008343756,11.2993651791|46.4007644493,11.2993169844
46.4007051275,11.2992837836|46.4006926241,11.2992710655|46.4007662552,11.299320599|46.4006361273,11.2992329115|46.4007347652,11.2992998485|46.4006643757,11.2992523232
46.4006032016,11.2992181142|46.4005865303,11.2992074043|46.4006601616,11.2992549297|46.4005295703,11.299170589|46.4006286715,11.2992348485|46.4005578188,11.299188662
46.4005024971,11.299156453|46.4004895305,11.2991444043|46.4005631619,11.2991919297|46.4004325704,11.299107589|46.4005316718,11.2991718485|46.4004608189,11.299125662
46.4004056651,11.2990901142|46.4003885307,11.2990794043|46.4004621623,11.2991269297|46.4003315705,11.299042589|46.400430672,11.2991068485|46.4003598191,11.299060662
46.4003035915,11.2990237836|46.4002901619,11.2990103962|46.4003633304,11.299060599|46.4002332015,11.2989722421|46.4003318402,11.2990391791|46.4002614502,11.2989916538
46.4002040549,11.2989597836|46.4001869204,11.2989490737|46.4002605522,11.298996599|46.4001294969,11.2989122584|46.4002290619,11.2989765179|46.4001582087,11.2989303313
46.4001040551,11.2988947836|46.4000873837,11.2988840737|46.4001610157,11.2989322684|46.4000299601,11.2988472584|46.4001295253,11.2989115179|46.4000586719,11.2988660007
46.4000195184,11.298840453|46.4000023839,11.2988290737|46.400076016,11.2988772684|46.3999449602,11.2987922584|46.4000445255,11.2988565179|46.3999736721,11.2988110007
46.3999199818,11.298775453|46.3999028472,11.298764743|46.3999769425,11.2988122684|46.3998458865,11.2987279277|46.399945452,11.2987921872|46.3998745984,11.2987460007
46.3998079415,11.2987154693|46.3997940486,11.2987034206|46.3998690702,11.2987475991|46.3997361616,11.2986699522|46.3998371166,11.2987288567|46.3997648736,11.2986866864
46.3997079823,11.298638453|46.3996908477,11.298627743|46.3997649432,11.2986752684|46.3996338867,11.2985909277|46.3997334526,11.2986551872|46.3996625988,11.2986090007
